iter	Passed	Remaining
746	974	330
747	975	328
748	976	327
749	977	325
750	978	324
751	979	323
752	980	321
753	981	320
754	982	318
755	983	317
756	985	316
757	986	314
758	987	313
759	988	312
760	989	310
761	991	309
762	992	308
763	993	306
764	994	305
765	995	304
766	996	302
767	998	301
768	999	300
769	1000	298
770	1001	297
771	1002	296
772	1004	294
773	1005	293
774	1006	292
775	1008	291
776	1009	289
777	1010	288
778	1011	286
779	1012	285
780	1013	284
781	1015	282
782	1016	281
783	1017	280
784	1018	278
785	1019	277
786	1020	276
787	1021	274
788	1022	273
789	1023	272
790	1025	270
791	1026	269
792	1027	268
793	1028	266
794	1030	265
795	1031	264
796	1032	262
797	1033	261
798	1034	260
799	1035	258
800	1036	257
801	1037	256
802	1038	254
803	1039	253
804	1040	252
805	1041	250
806	1043	249
807	1044	248
808	1045	246
809	1046	245
810	1047	244
811	1048	242
812	1049	241
813	1050	240
814	1052	238
815	1053	237
816	1054	236
817	1054	234
818	1056	233
819	1057	232
820	1058	230
821	1059	229
822	1060	228
823	1061	226
824	1062	225
825	1063	224
826	1064	222
827	1065	221
828	1066	220
829	1067	218
830	1068	217
831	1069	216
832	1070	214
833	1071	213
834	1072	211
835	1073	210
836	1074	209
837	1075	207
838	1076	206
839	1077	205
840	1078	203
841	1080	202
842	1081	201
843	1082	200
844	1083	198
845	1084	197
846	1085	196
847	1086	194
848	1087	193
849	1088	192
850	1089	190
851	1090	189
852	1091	188
853	1092	186
854	1093	185
855	1094	184
856	1095	182
857	1096	181
858	1097	180
859	1098	178
860	1099	177
861	1100	176
862	1101	174
863	1102	173
864	1103	172
865	1104	170
866	1105	169
867	1106	168
868	1107	167
869	1108	165
870	1109	164
871	1110	163
872	1111	161
873	1112	160
874	1113	159
875	1114	157
876	1115	156
877	1116	155
878	1117	153
879	1118	152
880	1119	151
881	1120	149
882	1121	148
883	1122	147
884	1123	146
885	1124	144
886	1125	143
887	1126	142
888	1127	140
889	1128	139
890	1130	138
891	1131	136
892	1132	135
893	1133	134
894	1134	133
895	1135	131
896	1136	130
897	1137	129
898	1138	127
899	1139	126
900	1140	125
901	1141	124
902	1142	122
903	1143	121
904	1144	120
905	1145	118
906	1146	117
907	1147	116
908	1148	115
909	1150	113
910	1151	112
911	1151	111
912	1152	109
913	1153	108
914	1154	107
915	1155	105
916	1156	104
917	1157	103
918	1158	102
919	1159	100
920	1160	99
921	1161	98
922	1162	97
923	1163	95
924	1164	94
925	1166	93
926	1167	91
927	1168	90
928	1169	89
929	1170	88
930	1171	86
931	1172	85
932	1173	84
933	1174	82
934	1174	81
935	1175	80
936	1176	79
937	1177	77
938	1178	76
939	1179	75
940	1180	74
941	1181	72
942	1182	71
943	1183	70
944	1184	68
945	1185	67
946	1186	66
947	1187	65
948	1188	63
949	1189	62
950	1190	61
951	1191	60
952	1193	58
953	1194	57
954	1195	56
955	1196	55
956	1197	53
957	1198	52
958	1199	51
959	1200	50
960	1201	48
961	1202	47
962	1203	46
963	1204	44
964	1205	43
965	1206	42
966	1207	41
967	1208	39
968	1209	38
969	1211	37
970	1212	36
971	1213	34
972	1214	33
973	1215	32
974	1216	31
975	1217	29
976	1218	28
977	1219	27
978	1220	26
979	1221	24
980	1223	23
981	1224	22
982	1225	21
983	1226	19
984	1227	18
985	1228	17
986	1229	16
987	1230	14
988	1231	13
989	1232	12
990	1233	11
991	1234	9
992	1236	8
993	1237	7
994	1238	6
995	1240	4
996	1241	3
997	1242	2
998	1243	1
999	1244	0
